ID,locale,description,catagory,brand

1,en,Smartphone,Electronics,Samsung
1,hi,स्मार्टफोन,इलेक्ट्रॉनिक्स,सैमसंग
1,te,స్మార్ట్‌ఫోన్,ఎలక్ట్రానిక్స్,సామ్‌సంగ్
1,kn,ಸ್ಮಾರ್ಟ್‌ಫೋನ್,ಇಲೆಕ್ಟ್ರಾನಿಕ್ಸ್,ಸ್ಯಾಮ್ಸಂಗ್
1,ta,ஸ்மார்ட்போன்,எலக்ட்ரானிக்ஸ்,சாம்சங்
1,ml,സ്മാർട്ട്ഫോൺ,ഇലക്ട്രോണിക്സ്,സാംസങ്
1,mr,स्मार्टफोन,इलेक्ट्रॉनिक्स,सॅमसंग
1,bn,স্মার্টফোন,ইলেকট্রনিক্স,স্যামসাং
1,gu,સ્માર્ટફોન,ઇલેક્ટ્રોનિક્સ,સેમસંગ
1,pa,ਸਮਾਰਟਫੋਨ,ਇਲੈਕਟ੍ਰਾਨਿਕਸ,ਸੈਮਸੰਗ
1,or,ସ୍ମାର୍ଟଫୋନ୍,ଇଲେକ୍ଟ୍ରୋନିକ୍ସ,ସାମସଙ୍ଗ

2,en,Laptop,Electronics,HP
2,hi,लैपटॉप,इलेक्ट्रॉनिक्स,एचपी
2,te,ల్యాప్‌టాప్,ఎలక్ట్రానిక్స్,హెచ్‌పీ
2,kn,ಲ್ಯಾಪ್‌ಟಾಪ್,ಇಲೆಕ್ಟ್ರಾನಿಕ್ಸ್,ಎಚ್‌ಪಿ
2,ta,லேப்டாப்,எலக்ட்ரானிக்ஸ்,எச்பி
2,ml,ലാപ്‌ടോപ്പ്,ഇലക്ട്രോണിക്സ്,എച്ച്പി
2,mr,लॅपटॉप,इलेक्ट्रॉनिक्स,एचपी
2,bn,ল্যাপটপ,ইলেকট্রনিক্স,এইচপি
2,gu,લેપટોપ,ઇલેક્ટ્રોનિક્સ,એચપી
2,pa,ਲੈਪਟਾਪ,ਇਲੈਕਟ੍ਰਾਨਿਕਸ,ਐਚਪੀ
2,or,ଲ୍ୟାପଟପ୍,ଇଲେକ୍ଟ୍ରୋନିକ୍ସ,ଏଚପି

3,en,Running Shoes,Fashion,Nike
3,hi,रनिंग शूज़,फैशन,नाइकी
3,te,రన్నింగ్ షూస్,ఫ్యాషన్,నైక్
3,kn,ರನ್ನಿಂಗ್ ಶೂಸ್,ಫ್ಯಾಷನ್,ನೈಕ್
3,ta,ரன்னிங் ஷூஸ்,ஃபாஷன்,நைக்கி
3,ml,റണ്ണിംഗ് ഷൂസ്,ഫാഷൻ,നായിക്
3,mr,रनिंग शूज,फॅशन,नायकी
3,bn,রানিং জুতো,ফ্যাশন,নাইকি
3,gu,રનિંગ શૂઝ,ફેશન,નાઇક
3,pa,ਰਨਿੰਗ ਜੁੱਤੇ,ਫੈਸ਼ਨ,ਨਾਇਕੀ
3,or,ରନିଂ ଜୁତା,ଫ୍ୟାଶନ,ନାଇକ୍

4,en,T-Shirt,Fashion,Adidas
4,hi,टी-शर्ट,फैशन,एडिडास
4,te,టి-షర్ట్,ఫ్యాషన్,అడిడాస్
4,kn,ಟಿ-ಶರ್ಟ್,ಫ್ಯಾಷನ್,ಅಡಿಡಾಸ್
4,ta,டி-ஷர்ட்,ஃபாஷன்,அடிடாஸ்
4,ml,ടി-ഷർട്ട്,ഫാഷൻ,അഡിഡാസ്
4,mr,टी-शर्ट,फॅशन,अॅडिडास
4,bn,টি-শার্ট,ফ্যাশন,অ্যাডিডাস
4,gu,ટી-શર્ટ,ફેશન,એડિડાસ
4,pa,ਟੀ-ਸ਼ਰਟ,ਫੈਸ਼ਨ,ਅਡੀਡਾਸ
4,or,ଟି-ଶର୍ଟ,ଫ୍ୟାଶନ,ଅଡିଡାସ୍

5,en,Refrigerator,Home Appliances,LG
5,hi,रेफ्रिजरेटर,होम अप्लायंसेस,एलजी
5,te,రిఫ్రిజిరేటర్,హోమ్ అప్లయెన్సెస్,ఎల్జీ
5,kn,ಫ್ರಿಜ್,ಗೃಹೋಪಕರಣಗಳು,ಎಲ್‌ಜಿ
5,ta,குளிர்சாதன பெட்டி,வீட்டு உபகரணங்கள்,எல்ஜி
5,ml,ഫ്രിഡ്ജ്,ഗൃഹോപകരണങ്ങൾ,എൽജി
5,mr,फ्रिज,होम अप्लायन्सेस,एलजी
5,bn,ফ্রিজ,হোম অ্যাপ্লায়েন্সেস,এলজি
5,gu,ફ્રિજ,હોમ એપ્લાયન્સિસ,એલજી
5,pa,ਫਰਿੱਜ,ਘਰੇਲੂ ਉਪਕਰਣ,ਐਲਜੀ
5,or,ଫ୍ରିଜ୍,ଘରୋଇ ଯନ୍ତ୍ର,ଏଲଜି
